"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-03","4 ROOM","252","BISHAN ST 22","07 TO 09","7","114","1992","71 years 05 months","852","618000","2","1"
"2020-03","4 ROOM","236","BISHAN ST 22","07 TO 09","7","107","1992","71 years 02 months","852","580000","2","1"
"2020-03","4 ROOM","250","BISHAN ST 22","04 TO 06","4","105","1992","71 years 05 months","852","500000","1","1"
"2020-03","4 ROOM","255","BISHAN ST 22","10 TO 12","10","103","1992","71 years 05 months","852","518000","2","1"
"2020-03","4 ROOM","223","BISHAN ST 23","04 TO 06","4","103","1992","71 years 04 months","852","582888","1","1"
"2020-03","4 ROOM","286","BISHAN ST 24","01 TO 03","1","108","1992","71 years 05 months","852","450000","1","1"
"2020-03","4 ROOM","271","BISHAN ST 24","01 TO 03","1","104","1992","71 years 05 months","852","511000","1","1"
"2020-03","4 ROOM","290","BISHAN ST 24","04 TO 06","4","102","1998","77 years 03 months","924","600000","1","1"
"2020-03","4 ROOM","273A","BISHAN ST 24","16 TO 18","16","95","2011","90 years 06 months","1080","860000","3","1"
"2020-03","4 ROOM","268","BISHAN ST 24","04 TO 06","4","106","1992","71 years 05 months","852","580000","1","1"
"2020-03","4 ROOM","272","BISHAN ST 24","07 TO 09","7","103","1992","71 years 05 months","852","565000","2","1"
"2020-03","4 ROOM","406","SIN MING AVE","13 TO 15","13","89","1987","66 years 01 month","792","550000","3","1"
"2020-03","4 ROOM","454","SIN MING AVE","04 TO 06","4","105","1989","68 years 08 months","816","525000","1","1"
"2020-03","5 ROOM","506","BISHAN ST 11","04 TO 06","4","127","1989","68 years 06 months","816","800000","1","1"
"2020-03","5 ROOM","124","BISHAN ST 12","01 TO 03","1","121","1987","66 years 03 months","792","680000","1","1"
"2020-03","5 ROOM","158","BISHAN ST 13","13 TO 15","13","128","1988","67 years","804","745000","3","1"
"2020-03","5 ROOM","177","BISHAN ST 13","04 TO 06","4","121","1987","66 years 05 months","792","665000","1","1"
"2020-03","5 ROOM","246","BISHAN ST 22","04 TO 06","4","132","1992","71 years 05 months","852","775000","1","1"
"2020-03","5 ROOM","221","BISHAN ST 23","07 TO 09","7","128","1992","71 years 04 months","852","860000","2","1"
"2020-03","5 ROOM","273B","BISHAN ST 24","19 TO 21","19","120","2011","90 years 06 months","1080","1082000","3","1"
"2020-03","5 ROOM","273B","BISHAN ST 24","04 TO 06","4","120","2011","90 years 05 months","1080","825000","1","1"
"2020-03","5 ROOM","290","BISHAN ST 24","19 TO 21","19","123","1998","77 years 03 months","924","740000","3","1"
"2020-03","5 ROOM","453","SIN MING AVE","10 TO 12","10","120","1990","69 years","828","645000","2","1"
"2020-03","5 ROOM","450","SIN MING AVE","10 TO 12","10","120","1989","68 years 09 months","816","600000","2","1"
"2020-03","5 ROOM","402","SIN MING AVE","04 TO 06","4","120","1986","64 years 10 months","768","652000","1","1"
"2020-03","EXECUTIVE","218","BISHAN ST 23","01 TO 03","1","149","1992","71 years 01 month","852","805000","1","1"
"2020-04","3 ROOM","407","SIN MING AVE","10 TO 12","10","64","1986","65 years 05 months","780","380000","2","1"
"2020-04","4 ROOM","225","BISHAN ST 23","10 TO 12","10","103","1992","71 years 04 months","852","595000","2","1"
"2020-04","4 ROOM","223","BISHAN ST 23","07 TO 09","7","103","1992","71 years 04 months","852","520000","2","1"
"2020-04","4 ROOM","273B","BISHAN ST 24","10 TO 12","10","95","2011","90 years 05 months","1080","808000","2","1"
"2020-04","5 ROOM","156","BISHAN ST 13","13 TO 15","13","121","1988","67 years 06 months","804","670000","3","1"
